rainfall,crop,soil_type,season,pesticide,success_rate
407,rice,red,rainy,Imidacloprid,70
97,rice,black,winter,Copper Sulfate,53
383,rice,red,summer,Chlorpyrifos,45
354,wheat,red,summer,Deltamethrin,55
118,wheat,black,summer,Copper Sulfate,83
225,rice,red,rainy,Deltamethrin,100
159,wheat,red,winter,Copper Sulfate,88
388,rice,red,winter,Chlorpyrifos,45
241,wheat,red,rainy,Imidacloprid,80
194,wheat,red,winter,Imidacloprid,100
305,wheat,black,winter,Glyphosate,75
462,rice,black,rainy,Mancozeb,83
92,wheat,red,rainy,Mancozeb,48
419,wheat,red,summer,Deltamethrin,55
152,rice,red,winter,Imidacloprid,80
264,wheat,black,winter,Copper Sulfate,100
404,wheat,black,winter,Glyphosate,75
236,rice,black,winter,Copper Sulfate,83
402,wheat,black,summer,Carbendazim,57
436,rice,red,rainy,Chlorpyrifos,65
335,rice,black,winter,Imidacloprid,65
60,wheat,black,winter,Mancozeb,83
425,wheat,red,summer,Imidacloprid,50
344,wheat,red,summer,Copper Sulfate,38
478,wheat,black,summer,Carbendazim,57
172,wheat,red,summer,Glyphosate,70
477,wheat,red,winter,Carbendazim,62
344,wheat,red,rainy,Chlorpyrifos,45
350,wheat,red,winter,Imidacloprid,70
172,rice,black,winter,Glyphosate,85
146,wheat,black,summer,Glyphosate,85
415,rice,red,rainy,Mancozeb,68
449,rice,black,summer,Chlorpyrifos,60
260,wheat,black,rainy,Chlorpyrifos,90
273,wheat,black,summer,Copper Sulfate,83
173,wheat,red,summer,Mancozeb,78
378,wheat,red,winter,Imidacloprid,70
311,wheat,black,winter,Deltamethrin,90
494,wheat,black,winter,Chlorpyrifos,80
418,wheat,black,summer,Carbendazim,57
379,wheat,red,winter,Carbendazim,62
289,rice,black,winter,Carbendazim,87
315,wheat,black,summer,Mancozeb,63
170,rice,black,rainy,Glyphosate,100
477,wheat,red,summer,Chlorpyrifos,45
97,rice,red,rainy,Glyphosate,60
214,rice,black,rainy,Carbendazim,100
280,rice,red,rainy,Imidacloprid,100
305,rice,red,rainy,Chlorpyrifos,65
281,wheat,black,rainy,Carbendazim,87
363,wheat,red,rainy,Glyphosate,40
277,rice,red,summer,Copper Sulfate,68
363,wheat,black,rainy,Glyphosate,55
346,rice,black,summer,Chlorpyrifos,60
140,rice,red,winter,Carbendazim,72
285,rice,red,summer,Carbendazim,72
312,rice,black,summer,Mancozeb,63
92,wheat,black,summer,Imidacloprid,65
396,rice,black,rainy,Glyphosate,75
358,rice,black,rainy,Imidacloprid,85
85,rice,black,winter,Imidacloprid,65
157,rice,black,summer,Deltamethrin,100
176,rice,red,winter,Mancozeb,78
74,rice,red,summer,Imidacloprid,50
312,rice,black,rainy,Chlorpyrifos,80
446,rice,black,winter,Deltamethrin,70
298,wheat,red,winter,Deltamethrin,100
439,wheat,red,summer,Glyphosate,40
457,wheat,red,winter,Imidacloprid,70
110,wheat,black,rainy,Mancozeb,93
445,rice,red,summer,Glyphosate,40
133,wheat,red,summer,Mancozeb,78
115,rice,black,rainy,Deltamethrin,100
62,wheat,black,winter,Deltamethrin,90
121,rice,black,winter,Deltamethrin,100
107,wheat,black,rainy,Copper Sulfate,83
206,rice,red,summer,Glyphosate,70
132,rice,black,winter,Mancozeb,93
390,rice,black,summer,Carbendazim,57
123,rice,black,winter,Mancozeb,93
349,wheat,red,rainy,Imidacloprid,50
206,rice,red,winter,Mancozeb,78
96,rice,red,summer,Carbendazim,42
242,rice,red,winter,Glyphosate,70
150,rice,black,summer,Mancozeb,93
110,wheat,red,winter,Imidacloprid,100
200,wheat,black,winter,Deltamethrin,100
106,wheat,black,rainy,Glyphosate,85
255,rice,black,winter,Deltamethrin,100
336,rice,black,rainy,Deltamethrin,90
277,wheat,black,winter,Glyphosate,100
94,wheat,black,winter,Carbendazim,77
165,rice,black,rainy,Deltamethrin,100
128,rice,black,summer,Imidacloprid,95
406,rice,black,summer,Mancozeb,63
499,wheat,black,winter,Carbendazim,77
258,rice,red,rainy,Chlorpyrifos,95
326,wheat,black,winter,Glyphosate,75
80,wheat,red,rainy,Carbendazim,42
443,wheat,black,winter,Chlorpyrifos,80
483,wheat,black,rainy,Imidacloprid,65
195,wheat,red,winter,Carbendazim,92
313,rice,red,winter,Mancozeb,48
98,rice,black,winter,Deltamethrin,70
199,rice,black,winter,Mancozeb,93
86,rice,black,summer,Carbendazim,57
83,wheat,red,rainy,Deltamethrin,55
482,wheat,black,rainy,Chlorpyrifos,60
66,rice,black,winter,Deltamethrin,70
194,wheat,black,summer,Mancozeb,93
332,wheat,black,summer,Imidacloprid,65
352,rice,black,winter,Carbendazim,57
495,wheat,black,rainy,Chlorpyrifos,60
72,wheat,red,rainy,Chlorpyrifos,45
373,wheat,black,summer,Imidacloprid,65
270,rice,black,winter,Copper Sulfate,83
385,wheat,black,winter,Deltamethrin,90
154,rice,red,rainy,Carbendazim,92
204,rice,black,winter,Deltamethrin,100
248,wheat,black,rainy,Mancozeb,93
269,wheat,black,rainy,Carbendazim,87
442,rice,red,summer,Mancozeb,48
374,wheat,black,winter,Chlorpyrifos,80
388,wheat,red,winter,Copper Sulfate,58
428,wheat,black,summer,Carbendazim,57
345,wheat,black,rainy,Imidacloprid,65
175,wheat,red,winter,Mancozeb,98
118,rice,red,winter,Glyphosate,70
429,rice,black,summer,Glyphosate,55
373,wheat,black,rainy,Glyphosate,55
455,rice,black,winter,Deltamethrin,70
71,wheat,red,winter,Imidacloprid,70
397,wheat,black,rainy,Carbendazim,57
353,wheat,red,rainy,Imidacloprid,50
367,rice,black,rainy,Copper Sulfate,73
117,wheat,red,winter,Mancozeb,98
175,wheat,red,rainy,Copper Sulfate,68
251,wheat,red,summer,Glyphosate,70
459,wheat,black,summer,Copper Sulfate,53
351,wheat,black,rainy,Imidacloprid,65
92,rice,black,winter,Imidacloprid,65
199,wheat,red,rainy,Carbendazim,72
148,rice,red,rainy,Deltamethrin,100
77,wheat,black,summer,Mancozeb,63
459,rice,black,summer,Copper Sulfate,53
366,wheat,red,summer,Deltamethrin,55
81,wheat,black,rainy,Imidacloprid,65
383,rice,red,summer,Imidacloprid,50
375,wheat,black,winter,Glyphosate,75
92,rice,red,rainy,Carbendazim,62
106,wheat,red,summer,Chlorpyrifos,75
398,rice,black,winter,Copper Sulfate,53
61,rice,black,rainy,Mancozeb,83
246,rice,black,summer,Deltamethrin,100
322,wheat,black,rainy,Copper Sulfate,53
400,wheat,black,winter,Carbendazim,77
89,wheat,red,winter,Copper Sulfate,58
99,wheat,black,winter,Deltamethrin,90
416,rice,black,rainy,Chlorpyrifos,80
273,rice,black,winter,Chlorpyrifos,90
281,rice,red,winter,Carbendazim,72
145,wheat,red,summer,Chlorpyrifos,75
366,wheat,red,rainy,Deltamethrin,55
299,wheat,black,rainy,Mancozeb,93
188,wheat,black,winter,Deltamethrin,100
462,rice,red,rainy,Copper Sulfate,58
382,wheat,red,summer,Mancozeb,48
411,rice,red,rainy,Copper Sulfate,58
243,rice,red,winter,Mancozeb,78
364,rice,red,rainy,Imidacloprid,70
369,rice,red,winter,Glyphosate,40
293,rice,black,rainy,Chlorpyrifos,100
441,rice,red,summer,Glyphosate,40
72,wheat,black,winter,Imidacloprid,85
116,wheat,red,summer,Chlorpyrifos,75
415,rice,red,summer,Glyphosate,40
483,rice,red,rainy,Copper Sulfate,58
51,rice,red,rainy,Deltamethrin,75
315,rice,black,summer,Glyphosate,55
447,wheat,red,rainy,Copper Sulfate,38
382,rice,red,rainy,Copper Sulfate,58
174,wheat,black,summer,Imidacloprid,95
148,rice,red,summer,Deltamethrin,85
110,rice,black,rainy,Copper Sulfate,100
120,wheat,red,winter,Mancozeb,98
378,wheat,red,summer,Imidacloprid,50
339,rice,red,summer,Mancozeb,48
322,wheat,black,rainy,Mancozeb,63
246,wheat,red,summer,Deltamethrin,85
88,rice,red,rainy,Copper Sulfate,58
266,wheat,red,rainy,Chlorpyrifos,75
497,wheat,black,summer,Mancozeb,63
382,rice,red,rainy,Chlorpyrifos,65
191,rice,black,summer,Glyphosate,85
254,wheat,black,rainy,Deltamethrin,100
480,rice,red,rainy,Imidacloprid,70
121,rice,red,winter,Imidacloprid,80
232,wheat,black,rainy,Deltamethrin,100
381,rice,red,summer,Copper Sulfate,38
56,rice,red,winter,Chlorpyrifos,45
343,rice,black,rainy,Chlorpyrifos,80
479,rice,black,rainy,Copper Sulfate,73
220,rice,black,summer,Imidacloprid,95
276,rice,black,rainy,Imidacloprid,100
287,rice,black,summer,Copper Sulfate,83
344,rice,black,rainy,Mancozeb,83
240,rice,red,winter,Deltamethrin,85
355,rice,red,winter,Chlorpyrifos,45
137,rice,black,rainy,Deltamethrin,100
242,rice,black,winter,Imidacloprid,95
316,wheat,black,summer,Deltamethrin,70
92,wheat,red,winter,Chlorpyrifos,65
88,wheat,red,winter,Copper Sulfate,58
416,wheat,black,rainy,Mancozeb,63
432,wheat,black,rainy,Mancozeb,63
417,rice,red,rainy,Deltamethrin,75
442,wheat,black,summer,Chlorpyrifos,60
494,rice,red,winter,Mancozeb,48
486,rice,black,summer,Copper Sulfate,53
295,wheat,red,rainy,Chlorpyrifos,75
291,wheat,black,winter,Copper Sulfate,100
351,rice,red,winter,Copper Sulfate,38
105,rice,black,rainy,Mancozeb,100
215,wheat,red,winter,Carbendazim,92
394,rice,red,summer,Copper Sulfate,38
429,rice,black,summer,Carbendazim,57
242,wheat,black,summer,Copper Sulfate,83
169,wheat,black,summer,Deltamethrin,100
493,rice,red,summer,Imidacloprid,50
413,wheat,red,summer,Copper Sulfate,38
139,rice,red,summer,Deltamethrin,85
376,rice,black,winter,Carbendazim,57
177,wheat,red,rainy,Deltamethrin,85
172,wheat,red,winter,Glyphosate,90
474,wheat,red,rainy,Carbendazim,42
497,rice,red,winter,Deltamethrin,55
417,rice,red,winter,Imidacloprid,50
68,rice,black,rainy,Chlorpyrifos,80
150,rice,red,winter,Glyphosate,70
223,wheat,black,winter,Imidacloprid,100
140,wheat,red,summer,Copper Sulfate,68
111,rice,black,rainy,Mancozeb,100
161,rice,black,rainy,Carbendazim,100
173,rice,black,summer,Chlorpyrifos,90
271,wheat,black,rainy,Copper Sulfate,83
60,wheat,black,rainy,Deltamethrin,70
495,rice,red,rainy,Carbendazim,62
284,wheat,black,rainy,Imidacloprid,95
357,rice,black,rainy,Imidacloprid,85
282,wheat,red,winter,Glyphosate,90
115,rice,red,summer,Carbendazim,72
332,rice,black,winter,Copper Sulfate,53
100,wheat,black,winter,Glyphosate,100
197,wheat,black,summer,Mancozeb,93
424,rice,red,rainy,Imidacloprid,70
250,rice,black,rainy,Glyphosate,100
308,wheat,red,summer,Imidacloprid,50
295,wheat,black,winter,Glyphosate,100
362,wheat,black,summer,Deltamethrin,70
330,wheat,black,winter,Copper Sulfate,73
362,rice,red,summer,Chlorpyrifos,45
287,rice,red,rainy,Copper Sulfate,88
267,rice,red,rainy,Chlorpyrifos,95
423,wheat,red,winter,Copper Sulfate,58
125,wheat,black,rainy,Deltamethrin,100
375,wheat,black,winter,Copper Sulfate,73
238,rice,black,rainy,Copper Sulfate,100
139,wheat,black,winter,Deltamethrin,100
344,rice,black,rainy,Glyphosate,75
126,rice,black,winter,Glyphosate,85
232,rice,red,summer,Imidacloprid,80
180,rice,black,rainy,Imidacloprid,100
270,wheat,black,winter,Mancozeb,100
282,wheat,red,rainy,Mancozeb,78
127,rice,red,summer,Copper Sulfate,68
136,rice,black,summer,Imidacloprid,95
168,wheat,black,rainy,Chlorpyrifos,90
290,rice,red,rainy,Glyphosate,90
433,rice,black,winter,Deltamethrin,70
271,wheat,black,summer,Chlorpyrifos,90
500,rice,red,summer,Deltamethrin,55
270,rice,black,winter,Imidacloprid,95
249,rice,black,rainy,Copper Sulfate,100
437,wheat,black,winter,Glyphosate,75
239,wheat,red,winter,Mancozeb,98
357,rice,red,rainy,Deltamethrin,75
197,wheat,black,summer,Glyphosate,85
74,wheat,red,winter,Imidacloprid,70
313,wheat,black,rainy,Glyphosate,55
500,rice,black,summer,Mancozeb,63
403,rice,black,winter,Imidacloprid,65
293,wheat,red,summer,Imidacloprid,80
265,rice,red,rainy,Deltamethrin,100
494,wheat,red,winter,Carbendazim,62
459,wheat,black,summer,Glyphosate,55
78,wheat,red,winter,Mancozeb,68
275,wheat,black,rainy,Chlorpyrifos,90
423,rice,red,winter,Chlorpyrifos,45
92,rice,black,rainy,Chlorpyrifos,80
220,rice,red,winter,Mancozeb,78
342,wheat,black,summer,Chlorpyrifos,60
356,wheat,red,rainy,Imidacloprid,50
107,wheat,red,winter,Glyphosate,90
161,rice,red,rainy,Carbendazim,92
137,wheat,red,summer,Glyphosate,70
476,rice,black,summer,Carbendazim,57
441,rice,black,winter,Carbendazim,57
284,wheat,red,summer,Deltamethrin,85
252,wheat,red,winter,Carbendazim,92
345,rice,red,winter,Glyphosate,40
397,wheat,red,summer,Imidacloprid,50
99,wheat,black,summer,Imidacloprid,65
239,wheat,red,summer,Glyphosate,70
104,wheat,black,winter,Glyphosate,100
120,wheat,red,summer,Mancozeb,78
366,rice,black,winter,Deltamethrin,70
64,rice,red,winter,Carbendazim,42
198,wheat,red,summer,Imidacloprid,80
142,wheat,black,rainy,Mancozeb,93
255,rice,red,winter,Carbendazim,72
76,wheat,black,rainy,Deltamethrin,70
164,rice,red,winter,Mancozeb,78
468,wheat,black,rainy,Mancozeb,63
123,rice,black,rainy,Imidacloprid,100
105,wheat,black,rainy,Carbendazim,87
175,rice,black,winter,Copper Sulfate,83
249,wheat,black,rainy,Carbendazim,87
64,rice,black,winter,Imidacloprid,65
126,rice,red,summer,Imidacloprid,80
462,rice,red,winter,Chlorpyrifos,45
216,wheat,red,winter,Glyphosate,90
199,rice,red,rainy,Copper Sulfate,88
187,wheat,red,summer,Carbendazim,72
292,wheat,red,winter,Deltamethrin,100
240,wheat,black,summer,Glyphosate,85
447,rice,black,winter,Glyphosate,55
407,wheat,black,summer,Glyphosate,55
253,wheat,red,winter,Imidacloprid,100
321,rice,black,rainy,Glyphosate,75
129,wheat,red,summer,Carbendazim,72
54,wheat,black,summer,Copper Sulfate,53
51,wheat,black,rainy,Carbendazim,57
183,rice,red,summer,Deltamethrin,85
110,rice,red,rainy,Chlorpyrifos,95
279,rice,black,summer,Copper Sulfate,83
183,rice,black,winter,Chlorpyrifos,90
347,rice,black,winter,Carbendazim,57
100,wheat,red,summer,Chlorpyrifos,75
149,wheat,red,winter,Glyphosate,90
274,rice,black,winter,Mancozeb,93
371,wheat,red,summer,Deltamethrin,55
212,rice,red,winter,Mancozeb,78
200,rice,red,winter,Copper Sulfate,68
351,wheat,black,rainy,Carbendazim,57
316,wheat,black,rainy,Chlorpyrifos,60
279,rice,red,summer,Glyphosate,70
484,wheat,black,summer,Mancozeb,63
424,rice,black,summer,Copper Sulfate,53
233,wheat,red,rainy,Carbendazim,72
73,rice,red,summer,Chlorpyrifos,45
125,rice,red,summer,Carbendazim,72
68,wheat,black,rainy,Imidacloprid,65
99,wheat,red,rainy,Chlorpyrifos,45
149,wheat,black,summer,Imidacloprid,95
144,wheat,black,summer,Glyphosate,85
492,wheat,red,winter,Imidacloprid,70
331,rice,red,rainy,Carbendazim,62
428,wheat,black,rainy,Imidacloprid,65
126,rice,black,summer,Mancozeb,93
230,rice,red,rainy,Copper Sulfate,88
315,wheat,black,winter,Mancozeb,83
108,rice,red,rainy,Carbendazim,92
327,wheat,black,summer,Carbendazim,57
142,wheat,red,winter,Mancozeb,98
138,wheat,red,rainy,Copper Sulfate,68
202,rice,red,summer,Chlorpyrifos,75
50,wheat,black,winter,Mancozeb,83
337,rice,red,summer,Glyphosate,40
111,rice,red,summer,Glyphosate,70
359,rice,black,winter,Copper Sulfate,53
375,wheat,red,summer,Deltamethrin,55
381,rice,red,winter,Glyphosate,40
119,wheat,black,summer,Imidacloprid,95
87,rice,red,rainy,Deltamethrin,75
294,wheat,red,rainy,Copper Sulfate,68
152,wheat,black,rainy,Carbendazim,87
241,wheat,red,summer,Imidacloprid,80
237,rice,red,winter,Glyphosate,70
149,wheat,black,summer,Copper Sulfate,83
486,rice,black,winter,Imidacloprid,65
228,wheat,red,rainy,Deltamethrin,85
252,rice,red,winter,Imidacloprid,80
97,rice,red,winter,Mancozeb,48
144,rice,black,winter,Copper Sulfate,83
500,wheat,red,winter,Deltamethrin,75
181,rice,black,rainy,Copper Sulfate,100
252,wheat,red,winter,Imidacloprid,100
486,rice,black,rainy,Copper Sulfate,73
116,rice,red,rainy,Glyphosate,90
311,wheat,black,rainy,Copper Sulfate,53
369,rice,black,summer,Glyphosate,55
163,wheat,red,rainy,Imidacloprid,80
432,rice,black,rainy,Imidacloprid,85
141,wheat,red,summer,Imidacloprid,80
418,rice,black,summer,Mancozeb,63
132,rice,black,rainy,Copper Sulfate,100
94,rice,black,summer,Imidacloprid,65
118,rice,black,winter,Imidacloprid,95
455,rice,black,winter,Imidacloprid,65
445,wheat,red,rainy,Glyphosate,40
126,rice,black,winter,Imidacloprid,95
227,wheat,red,summer,Imidacloprid,80
180,wheat,black,rainy,Copper Sulfate,83
171,wheat,black,winter,Imidacloprid,100
335,rice,red,summer,Carbendazim,42
257,wheat,black,rainy,Glyphosate,85
495,rice,black,winter,Carbendazim,57
241,wheat,black,summer,Carbendazim,87
145,wheat,red,winter,Glyphosate,90
94,wheat,red,summer,Deltamethrin,55
388,rice,black,summer,Deltamethrin,70
416,rice,black,rainy,Deltamethrin,90
167,wheat,red,winter,Mancozeb,98
473,wheat,black,rainy,Imidacloprid,65
285,wheat,black,rainy,Carbendazim,87
285,wheat,black,summer,Deltamethrin,100
373,wheat,black,winter,Deltamethrin,90
433,rice,black,rainy,Copper Sulfate,73
489,rice,red,rainy,Deltamethrin,75
273,rice,red,winter,Glyphosate,70
228,rice,black,winter,Deltamethrin,100
447,wheat,black,rainy,Chlorpyrifos,60
332,rice,red,rainy,Imidacloprid,70
473,rice,red,winter,Mancozeb,48
454,rice,black,winter,Glyphosate,55
343,wheat,red,rainy,Deltamethrin,55
498,wheat,red,summer,Mancozeb,48
102,wheat,red,rainy,Carbendazim,72
405,rice,red,rainy,Glyphosate,60
86,wheat,red,winter,Mancozeb,68
365,wheat,red,rainy,Copper Sulfate,38
103,wheat,red,summer,Copper Sulfate,68
93,wheat,black,rainy,Carbendazim,57
384,rice,black,summer,Copper Sulfate,53
321,wheat,red,winter,Deltamethrin,75
399,rice,black,rainy,Glyphosate,75
233,wheat,red,winter,Deltamethrin,100
233,wheat,black,rainy,Deltamethrin,100
158,wheat,black,rainy,Mancozeb,93
241,rice,red,winter,Deltamethrin,85
218,wheat,black,winter,Deltamethrin,100
120,wheat,red,rainy,Deltamethrin,85
441,rice,red,winter,Deltamethrin,55
440,wheat,red,winter,Copper Sulfate,58
494,wheat,black,winter,Mancozeb,83
226,wheat,red,rainy,Mancozeb,78
348,rice,black,winter,Carbendazim,57
442,rice,black,summer,Carbendazim,57
392,wheat,red,winter,Deltamethrin,75
364,rice,red,summer,Glyphosate,40
108,wheat,red,rainy,Chlorpyrifos,75
297,wheat,black,summer,Deltamethrin,100
58,rice,red,winter,Deltamethrin,55
110,rice,black,summer,Glyphosate,85
342,wheat,black,winter,Imidacloprid,85
433,rice,black,summer,Chlorpyrifos,60
400,rice,red,summer,Copper Sulfate,38
372,rice,black,summer,Carbendazim,57
182,rice,red,winter,Deltamethrin,85
341,wheat,black,summer,Mancozeb,63
52,rice,red,winter,Deltamethrin,55
446,wheat,red,rainy,Mancozeb,48
67,rice,red,rainy,Imidacloprid,70
465,wheat,black,winter,Glyphosate,75
83,rice,red,summer,Carbendazim,42
463,wheat,black,summer,Copper Sulfate,53
77,rice,black,summer,Carbendazim,57
72,wheat,red,winter,Chlorpyrifos,65
246,rice,black,winter,Copper Sulfate,83
310,wheat,black,rainy,Deltamethrin,70
319,rice,black,winter,Mancozeb,63
247,wheat,red,rainy,Mancozeb,78
64,rice,black,winter,Copper Sulfate,53
279,rice,black,rainy,Mancozeb,100
97,rice,black,summer,Glyphosate,55
125,wheat,black,summer,Copper Sulfate,83
327,wheat,black,winter,Chlorpyrifos,80
272,wheat,black,winter,Glyphosate,100
391,wheat,red,winter,Copper Sulfate,58
428,rice,red,summer,Copper Sulfate,38
89,wheat,red,summer,Imidacloprid,50
189,wheat,red,winter,Imidacloprid,100
259,wheat,red,winter,Imidacloprid,100
198,rice,black,rainy,Imidacloprid,100
300,rice,black,rainy,Glyphosate,100
377,wheat,red,rainy,Glyphosate,40
110,rice,black,winter,Mancozeb,93
424,rice,black,rainy,Deltamethrin,90
152,wheat,black,winter,Deltamethrin,100
285,rice,red,rainy,Deltamethrin,100
132,wheat,red,winter,Deltamethrin,100
186,wheat,black,summer,Mancozeb,93
222,rice,black,winter,Glyphosate,85
249,rice,black,summer,Carbendazim,87
288,rice,black,winter,Glyphosate,85
434,wheat,red,winter,Deltamethrin,75
270,rice,red,summer,Deltamethrin,85
377,wheat,red,summer,Copper Sulfate,38
229,rice,black,winter,Copper Sulfate,83
219,rice,black,winter,Mancozeb,93
290,wheat,red,winter,Copper Sulfate,88
116,rice,black,summer,Glyphosate,85
99,wheat,red,summer,Glyphosate,40
120,wheat,black,winter,Carbendazim,100
193,wheat,red,rainy,Carbendazim,72
132,rice,black,summer,Copper Sulfate,83
311,wheat,red,winter,Deltamethrin,75
428,rice,black,winter,Carbendazim,57
130,wheat,black,rainy,Imidacloprid,95
286,rice,red,rainy,Carbendazim,92
135,wheat,black,rainy,Copper Sulfate,83
321,wheat,red,winter,Deltamethrin,75
443,wheat,black,rainy,Chlorpyrifos,60
399,wheat,red,summer,Copper Sulfate,38
51,wheat,black,winter,Glyphosate,75
231,rice,red,winter,Copper Sulfate,68
298,wheat,black,rainy,Mancozeb,93
215,wheat,red,winter,Carbendazim,92
277,wheat,black,summer,Imidacloprid,95
264,wheat,red,rainy,Chlorpyrifos,75
157,wheat,red,rainy,Chlorpyrifos,75
71,rice,red,winter,Imidacloprid,50
143,rice,black,summer,Imidacloprid,95
140,wheat,black,rainy,Chlorpyrifos,90
218,wheat,black,summer,Chlorpyrifos,90
304,wheat,black,winter,Glyphosate,75
218,rice,black,winter,Mancozeb,93
152,rice,black,summer,Imidacloprid,95
282,rice,black,summer,Carbendazim,87
322,rice,red,rainy,Chlorpyrifos,65
83,wheat,black,summer,Glyphosate,55
288,wheat,black,rainy,Deltamethrin,100
415,wheat,black,rainy,Carbendazim,57
419,wheat,red,summer,Glyphosate,40
148,rice,red,rainy,Deltamethrin,100
448,rice,red,summer,Mancozeb,48
207,wheat,red,summer,Chlorpyrifos,75
91,rice,red,winter,Copper Sulfate,38
183,rice,red,rainy,Mancozeb,98
440,wheat,black,winter,Copper Sulfate,73
161,wheat,black,summer,Imidacloprid,95
90,wheat,red,winter,Mancozeb,68
388,wheat,black,winter,Chlorpyrifos,80
78,wheat,black,rainy,Deltamethrin,70
233,wheat,black,winter,Carbendazim,100
421,wheat,red,winter,Copper Sulfate,58
429,rice,black,winter,Mancozeb,63
136,rice,red,winter,Carbendazim,72
198,rice,black,rainy,Chlorpyrifos,100
373,wheat,red,rainy,Copper Sulfate,38
215,rice,black,rainy,Carbendazim,100
407,rice,red,summer,Deltamethrin,55
459,wheat,black,summer,Chlorpyrifos,60
316,rice,red,winter,Deltamethrin,55
143,wheat,red,winter,Chlorpyrifos,95
384,wheat,black,summer,Copper Sulfate,53
432,rice,red,summer,Chlorpyrifos,45
232,wheat,red,rainy,Carbendazim,72
181,rice,black,winter,Carbendazim,87
293,rice,red,winter,Copper Sulfate,68
197,rice,red,summer,Imidacloprid,80
122,wheat,black,rainy,Copper Sulfate,83
85,rice,red,rainy,Glyphosate,60
467,rice,black,winter,Copper Sulfate,53
449,rice,black,rainy,Imidacloprid,85
486,rice,black,rainy,Copper Sulfate,73
428,rice,red,rainy,Carbendazim,62
204,wheat,black,winter,Glyphosate,100
255,wheat,black,summer,Copper Sulfate,83
328,rice,black,rainy,Carbendazim,77
488,rice,red,winter,Carbendazim,42
121,wheat,red,summer,Deltamethrin,85
458,wheat,red,rainy,Copper Sulfate,38
71,rice,red,rainy,Glyphosate,60
270,rice,red,summer,Mancozeb,78
384,wheat,red,rainy,Deltamethrin,55
61,wheat,black,summer,Glyphosate,55
373,rice,black,summer,Glyphosate,55
182,wheat,black,rainy,Copper Sulfate,83
80,rice,black,winter,Glyphosate,55
173,rice,red,rainy,Imidacloprid,100
207,wheat,red,rainy,Copper Sulfate,68
180,wheat,black,summer,Chlorpyrifos,90
76,wheat,red,winter,Imidacloprid,70
149,rice,black,rainy,Copper Sulfate,100
233,rice,red,rainy,Glyphosate,90
358,rice,black,rainy,Copper Sulfate,73
65,rice,black,rainy,Glyphosate,75
401,rice,red,summer,Chlorpyrifos,45
455,rice,red,winter,Chlorpyrifos,45
322,wheat,black,rainy,Deltamethrin,70
339,rice,red,winter,Chlorpyrifos,45
175,rice,black,winter,Chlorpyrifos,90
168,wheat,red,winter,Imidacloprid,100
172,rice,black,winter,Mancozeb,93
199,wheat,black,winter,Glyphosate,100
402,rice,black,rainy,Deltamethrin,90
95,wheat,red,rainy,Deltamethrin,55
50,wheat,black,summer,Glyphosate,55
486,rice,red,rainy,Mancozeb,68
70,rice,black,winter,Chlorpyrifos,60
126,rice,black,rainy,Copper Sulfate,100
254,wheat,red,summer,Deltamethrin,85
183,wheat,black,winter,Copper Sulfate,100
235,wheat,black,rainy,Mancozeb,93
444,wheat,red,rainy,Mancozeb,48
136,rice,black,summer,Carbendazim,87
249,rice,black,winter,Copper Sulfate,83
330,rice,black,summer,Copper Sulfate,53
164,rice,black,winter,Imidacloprid,95
303,rice,black,summer,Copper Sulfate,53
296,rice,red,summer,Mancozeb,78
131,wheat,black,winter,Deltamethrin,100
330,rice,black,winter,Carbendazim,57
150,rice,red,winter,Imidacloprid,80
381,rice,black,rainy,Deltamethrin,90
187,rice,black,summer,Glyphosate,85
489,rice,red,winter,Copper Sulfate,38
163,rice,red,rainy,Imidacloprid,100
423,rice,red,summer,Imidacloprid,50
124,wheat,red,summer,Mancozeb,78
136,rice,black,rainy,Glyphosate,100
64,rice,red,summer,Mancozeb,48
207,rice,red,winter,Imidacloprid,80
210,wheat,black,summer,Mancozeb,93
498,rice,black,winter,Copper Sulfate,53
139,rice,black,winter,Glyphosate,85
455,wheat,red,rainy,Copper Sulfate,38
162,rice,red,winter,Imidacloprid,80
60,wheat,black,summer,Chlorpyrifos,60
275,wheat,red,rainy,Mancozeb,78
317,wheat,red,summer,Imidacloprid,50
160,wheat,black,rainy,Mancozeb,93
494,wheat,red,rainy,Glyphosate,40
394,rice,black,winter,Imidacloprid,65
219,rice,red,winter,Chlorpyrifos,75
94,rice,black,summer,Chlorpyrifos,60
99,rice,black,winter,Deltamethrin,70
311,wheat,red,summer,Carbendazim,42
317,wheat,red,rainy,Carbendazim,42
392,rice,black,rainy,Carbendazim,77
446,wheat,black,summer,Imidacloprid,65
328,wheat,black,rainy,Deltamethrin,70
90,rice,black,summer,Imidacloprid,65
92,rice,black,summer,Chlorpyrifos,60
300,rice,red,rainy,Chlorpyrifos,95
76,rice,black,rainy,Copper Sulfate,73
125,rice,red,winter,Mancozeb,78
471,rice,red,summer,Deltamethrin,55
287,wheat,red,rainy,Imidacloprid,80
374,wheat,black,summer,Imidacloprid,65
248,rice,red,summer,Deltamethrin,85
70,rice,black,rainy,Carbendazim,77
190,wheat,red,winter,Chlorpyrifos,95
61,wheat,red,summer,Chlorpyrifos,45
305,wheat,red,winter,Chlorpyrifos,65
232,wheat,red,winter,Mancozeb,98
105,rice,black,rainy,Copper Sulfate,100
194,wheat,black,summer,Carbendazim,87
301,wheat,red,winter,Copper Sulfate,58
